[train_hs7] 1v2 room+ramp obs=33 steps=20000000 s2=0-0 hidden=256 saving to hs_ramp_*.pt
[train_hs7] hider: warm-started from hs_ramp_w_hider.pt (hidden=256)
[train_hs7] seeker: warm-started from hs_ramp_w_seeker.pt (hidden=256)
Iter 27 | Steps 221184 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.600  hid=0.80 (22ep) | seeker=-0.410  hid=0.71 (22ep) | barr=0.05 elev=0.16 rlock=0.05
Iter 28 | Steps 229376 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.564  hid=0.78 (22ep) | seeker=-0.474  hid=0.74 (22ep) | barr=0.11 elev=0.18 rlock=0.07
Iter 29 | Steps 237568 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.561  hid=0.78 (22ep) | seeker=-0.424  hid=0.71 (22ep) | barr=0.11 elev=0.13 rlock=0.07
Iter 30 | Steps 245760 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.503  hid=0.75 (22ep) | seeker=-0.504  hid=0.75 (22ep) | barr=0.09 elev=0.13 rlock=0.07
Iter 31 | Steps 253952 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.650  hid=0.83 (22ep) | seeker=-0.511  hid=0.76 (22ep) | barr=0.07 elev=0.14 rlock=0.05
Iter 32 | Steps 262144 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.504  hid=0.75 (22ep) | seeker=-0.635  hid=0.82 (22ep) | barr=0.14 elev=0.19 rlock=0.05
Iter 33 | Steps 270336 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.410  hid=0.71 (22ep) | seeker=-0.522  hid=0.76 (22ep) | barr=0.14 elev=0.10 rlock=0.07
Iter 34 | Steps 278528 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.775  hid=0.89 (22ep) | seeker=-0.372  hid=0.69 (22ep) | barr=0.05 elev=0.13 rlock=0.09
Iter 35 | Steps 286720 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.473  hid=0.74 (22ep) | seeker=-0.618  hid=0.81 (22ep) | barr=0.14 elev=0.16 rlock=0.14
Iter 36 | Steps 294912 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=0.99 | hider=+0.387  hid=0.69 (22ep) | seeker=-0.475  hid=0.74 (22ep) | barr=0.11 elev=0.21 rlock=0.02
Iter 37 | Steps 303104 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.555  hid=0.78 (22ep) | seeker=-0.397  hid=0.70 (22ep) | barr=0.16 elev=0.16 rlock=0.05
Iter 38 | Steps 311296 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.314  hid=0.66 (22ep) | seeker=-0.540  hid=0.77 (22ep) | barr=0.11 elev=0.17 rlock=0.11
Iter 39 | Steps 319488 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.426  hid=0.71 (22ep) | seeker=-0.752  hid=0.88 (22ep) | barr=0.11 elev=0.14 rlock=0.05
Iter 40 | Steps 327680 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.302  hid=0.65 (22ep) | seeker=-0.739  hid=0.87 (22ep) | barr=0.09 elev=0.20 rlock=0.09
Iter 41 | Steps 335872 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=0.99 | hider=+0.651  hid=0.83 (22ep) | seeker=-0.420  hid=0.71 (22ep) | barr=0.16 elev=0.16 rlock=0.11
Iter 42 | Steps 344064 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=0.99 | hider=+0.471  hid=0.74 (22ep) | seeker=-0.482  hid=0.74 (22ep) | barr=0.05 elev=0.15 rlock=0.11
Iter 43 | Steps 352256 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=0.99 | hider=+0.741  hid=0.87 (22ep) | seeker=-0.363  hid=0.68 (22ep) | barr=0.14 elev=0.10 rlock=0.09
Iter 44 | Steps 360448 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.648  hid=0.82 (22ep) | seeker=-0.535  hid=0.77 (22ep) | barr=0.18 elev=0.14 rlock=0.07
Iter 45 | Steps 368640 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.642  hid=0.82 (22ep) | seeker=-0.527  hid=0.76 (22ep) | barr=0.14 elev=0.14 rlock=0.11
Iter 46 | Steps 376832 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.416  hid=0.71 (22ep) | seeker=-0.549  hid=0.77 (22ep) | barr=0.11 elev=0.14 rlock=0.11
Iter 47 | Steps 385024 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.535  hid=0.77 (22ep) | seeker=-0.507  hid=0.75 (22ep) | barr=0.07 elev=0.20 rlock=0.07
Iter 48 | Steps 393216 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.706  hid=0.85 (22ep) | seeker=-0.411  hid=0.71 (22ep) | barr=0.07 elev=0.18 rlock=0.05
Iter 49 | Steps 401408 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.738  hid=0.87 (22ep) | seeker=-0.648  hid=0.82 (22ep) | barr=0.11 elev=0.11 rlock=0.05
Iter 50 | Steps 409600 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.488  hid=0.74 (22ep) | seeker=-0.557  hid=0.78 (22ep) | barr=0.14 elev=0.14 rlock=0.05
Iter 51 | Steps 417792 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.649  hid=0.82 (22ep) | seeker=-0.646  hid=0.82 (22ep) | barr=0.07 elev=0.12 rlock=0.02
Iter 52 | Steps 425984 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.604  hid=0.80 (22ep) | seeker=-0.582  hid=0.79 (22ep) | barr=0.11 elev=0.12 rlock=0.11
Iter 53 | Steps 434176 | Pools h=1 s=1 | p2=1.00 | std h=0.99 s=1.00 | hider=+0.535  hid=0.77 (22ep) | seeker=-0.672  hid=0.84 (22ep) | barr=0.14 elev=0.18 rlock=0.14
Iter 54 | Steps 442368 | Pools h=1 s=1 | p2=1.00 | std h=0.99 s=1.00 | hider=+0.415  hid=0.71 (22ep) | seeker=-0.652  hid=0.83 (22ep) | barr=0.09 elev=0.13 rlock=0.09
Iter 55 | Steps 450560 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.671  hid=0.84 (22ep) | seeker=-0.644  hid=0.82 (22ep) | barr=0.14 elev=0.08 rlock=0.09
Iter 56 | Steps 458752 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.574  hid=0.79 (22ep) | seeker=-0.552  hid=0.78 (22ep) | barr=0.14 elev=0.10 rlock=0.07
Iter 57 | Steps 466944 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.529  hid=0.76 (22ep) | seeker=-0.230  hid=0.62 (22ep) | barr=0.11 elev=0.11 rlock=0.09
Iter 58 | Steps 475136 | Pools h=1 s=1 | p2=1.00 | std h=0.99 s=1.00 | hider=+0.627  hid=0.81 (22ep) | seeker=-0.567  hid=0.78 (22ep) | barr=0.11 elev=0.16 rlock=0.07
Iter 59 | Steps 483328 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=0.99 | hider=+0.606  hid=0.80 (22ep) | seeker=-0.552  hid=0.78 (22ep) | barr=0.16 elev=0.16 rlock=0.05
Iter 60 | Steps 491520 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.443  hid=0.72 (22ep) | seeker=-0.507  hid=0.75 (22ep) | barr=0.14 elev=0.16 rlock=0.05
Iter 61 | Steps 499712 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.511  hid=0.76 (22ep) | seeker=-0.252  hid=0.63 (22ep) | barr=0.18 elev=0.20 rlock=0.09
Iter 62 | Steps 507904 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.630  hid=0.82 (22ep) | seeker=-0.719  hid=0.86 (22ep) | barr=0.11 elev=0.13 rlock=0.07
Iter 63 | Steps 516096 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.832* hid=0.92 (22ep) | seeker=-0.402  hid=0.70 (22ep) | barr=0.05 elev=0.10 rlock=0.16
Iter 64 | Steps 524288 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=0.99 | hider=+0.561  hid=0.78 (22ep) | seeker=-0.403  hid=0.70 (22ep) | barr=0.16 elev=0.16 rlock=0.07
Iter 65 | Steps 532480 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=0.99 | hider=+0.424  hid=0.71 (22ep) | seeker=-0.577  hid=0.79 (22ep) | barr=0.16 elev=0.10 rlock=0.07
Iter 66 | Steps 540672 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=0.99 | hider=+0.559  hid=0.78 (22ep) | seeker=-0.229  hid=0.61 (22ep) | barr=0.09 elev=0.21 rlock=0.07
Iter 67 | Steps 548864 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.329  hid=0.66 (22ep) | seeker=-0.545  hid=0.77 (22ep) | barr=0.14 elev=0.16 rlock=0.14
Iter 68 | Steps 557056 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.460  hid=0.73 (22ep) | seeker=-0.426  hid=0.71 (22ep) | barr=0.09 elev=0.17 rlock=0.09
Iter 69 | Steps 565248 | Pools h=1 s=1 | p2=1.00 | std h=0.99 s=0.99 | hider=+0.336  hid=0.67 (22ep) | seeker=-0.427  hid=0.71 (22ep) | barr=0.09 elev=0.19 rlock=0.05
Iter 70 | Steps 573440 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=0.99 | hider=+0.642  hid=0.82 (22ep) | seeker=-0.553  hid=0.78 (22ep) | barr=0.07 elev=0.16 rlock=0.02
Iter 71 | Steps 581632 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.782  hid=0.89 (22ep) | seeker=-0.392  hid=0.70 (22ep) | barr=0.07 elev=0.14 rlock=0.02
Iter 72 | Steps 589824 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.484  hid=0.74 (22ep) | seeker=-0.262  hid=0.63 (22ep) | barr=0.14 elev=0.20 rlock=0.07
Iter 73 | Steps 598016 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=0.99 | hider=+0.491  hid=0.75 (22ep) | seeker=-0.471  hid=0.74 (22ep) | barr=0.11 elev=0.15 rlock=0.07
Iter 74 | Steps 606208 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=0.99 | hider=+0.229  hid=0.61 (22ep) | seeker=-0.620  hid=0.81 (22ep) | barr=0.09 elev=0.20 rlock=0.09
Iter 75 | Steps 614400 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.557  hid=0.78 (22ep) | seeker=-0.612  hid=0.81 (22ep) | barr=0.11 elev=0.17 rlock=0.02
Iter 76 | Steps 622592 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.564  hid=0.78 (22ep) | seeker=-0.434  hid=0.72 (22ep) | barr=0.11 elev=0.18 rlock=0.07
Iter 77 | Steps 630784 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.511  hid=0.76 (22ep) | seeker=-0.469  hid=0.73 (22ep) | barr=0.14 elev=0.13 rlock=0.11
Iter 78 | Steps 638976 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.213  hid=0.61 (22ep) | seeker=-0.600  hid=0.80 (22ep) | barr=0.14 elev=0.17 rlock=0.20
Iter 79 | Steps 647168 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.574  hid=0.79 (22ep) | seeker=-0.517  hid=0.76 (22ep) | barr=0.07 elev=0.16 rlock=0.02
Iter 80 | Steps 655360 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.338  hid=0.67 (22ep) | seeker=-0.560  hid=0.78 (22ep) | barr=0.18 elev=0.13 rlock=0.11
Iter 81 | Steps 663552 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.578  hid=0.79 (22ep) | seeker=-0.471  hid=0.74 (22ep) | barr=0.02 elev=0.16 rlock=0.05
Iter 82 | Steps 671744 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.516  hid=0.76 (22ep) | seeker=-0.570  hid=0.79 (22ep) | barr=0.09 elev=0.15 rlock=0.14
Iter 83 | Steps 679936 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.716  hid=0.86 (22ep) | seeker=-0.584  hid=0.79 (22ep) | barr=0.07 elev=0.12 rlock=0.11
Iter 84 | Steps 688128 | Pools h=1 s=1 | p2=1.00 | std h=0.99 s=1.00 | hider=+0.505  hid=0.75 (22ep) | seeker=-0.673  hid=0.84 (22ep) | barr=0.11 elev=0.12 rlock=0.02
Iter 85 | Steps 696320 | Pools h=1 s=1 | p2=1.00 | std h=0.99 s=1.00 | hider=+0.566  hid=0.78 (22ep) | seeker=-0.638  hid=0.82 (22ep) | barr=0.14 elev=0.12 rlock=0.09
Iter 86 | Steps 704512 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=0.99 | hider=+0.573  hid=0.79 (22ep) | seeker=-0.467  hid=0.73 (22ep) | barr=0.09 elev=0.13 rlock=0.07
Iter 87 | Steps 712704 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.531  hid=0.77 (22ep) | seeker=-0.191* hid=0.60 (22ep) | barr=0.11 elev=0.17 rlock=0.05
Iter 88 | Steps 720896 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.618  hid=0.81 (22ep) | seeker=-0.459  hid=0.73 (22ep) | barr=0.09 elev=0.14 rlock=0.11
Iter 89 | Steps 729088 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.385  hid=0.69 (22ep) | seeker=-0.741  hid=0.87 (22ep) | barr=0.14 elev=0.15 rlock=0.05
Iter 90 | Steps 737280 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.635  hid=0.82 (22ep) | seeker=-0.288  hid=0.64 (22ep) | barr=0.07 elev=0.15 rlock=0.09
Iter 91 | Steps 745472 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.284  hid=0.64 (22ep) | seeker=-0.613  hid=0.81 (22ep) | barr=0.02 elev=0.18 rlock=0.09
Iter 92 | Steps 753664 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.640  hid=0.82 (22ep) | seeker=-0.368  hid=0.68 (22ep) | barr=0.02 elev=0.14 rlock=0.05
Iter 93 | Steps 761856 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.643  hid=0.82 (22ep) | seeker=-0.558  hid=0.78 (22ep) | barr=0.07 elev=0.13 rlock=0.02
Iter 94 | Steps 770048 | Pools h=1 s=1 | p2=1.00 | std h=1.00 s=1.00 | hider=+0.277  hid=0.64 (22ep) | seeker=-0.667  hid=0.83 (22ep) | barr=0.02 elev=0.18 rlock=0.09
