[arc] layout=roomt seeker_speed=1.4x DOOR_Y=148.0 FAR_Y=105.0 | 10 envs x 800 = 8000/update | obs=33 steps=50000000 rc_end=35000000 hidden=256
[arc] warm-started hider from hs_roomt_hider.pt
[arc] warm-started seeker from hs_lstm_seeker.pt
Iter 26 | Steps 208000 | Pools h=2 s=2 | ph=A/prelock(0.01) | std h=1.00 s=0.62 | hider=+0.844  hid=0.92 (20ep) | seeker=-0.565  hid=0.78 (20ep) | barr=0.47 elev=0.09 rlock=0.05
Iter 27 | Steps 216000 | Pools h=2 s=2 | ph=A/prelock(0.01) | std h=1.00 s=0.62 | hider=+0.733  hid=0.87 (20ep) | seeker=-0.662  hid=0.83 (20ep) | barr=0.47 elev=0.06 rlock=0.07
Iter 28 | Steps 224000 | Pools h=2 s=2 | ph=A/prelock(0.01) | std h=1.00 s=0.62 | hider=+0.871  hid=0.94 (20ep) | seeker=-0.897  hid=0.95 (20ep) | barr=0.47 elev=0.06 rlock=0.05
Iter 29 | Steps 232000 | Pools h=2 s=2 | ph=A/prelock(0.01) | std h=1.00 s=0.62 | hider=+0.789  hid=0.89 (20ep) | seeker=-0.913  hid=0.96 (20ep) | barr=0.38 elev=0.06 rlock=0.03
Iter 30 | Steps 240000 | Pools h=2 s=2 | ph=A/prelock(0.01) | std h=1.00 s=0.62 | hider=+0.724  hid=0.86 (20ep) | seeker=-0.918  hid=0.96 (20ep) | barr=0.40 elev=0.07 rlock=0.07
Iter 31 | Steps 248000 | Pools h=2 s=2 | ph=A/prelock(0.01) | std h=1.00 s=0.62 | hider=+0.850  hid=0.93 (20ep) | seeker=-0.894  hid=0.95 (20ep) | barr=0.65 elev=0.04 rlock=0.05
Iter 32 | Steps 256000 | Pools h=2 s=2 | ph=A/prelock(0.01) | std h=1.00 s=0.62 | hider=+0.766  hid=0.88 (20ep) | seeker=-0.773  hid=0.89 (20ep) | barr=0.47 elev=0.06 rlock=0.10
Iter 33 | Steps 264000 | Pools h=2 s=2 | ph=A/prelock(0.01) | std h=1.00 s=0.62 | hider=+0.801  hid=0.90 (20ep) | seeker=-0.716  hid=0.86 (20ep) | barr=0.62 elev=0.04 rlock=0.00
Iter 34 | Steps 272000 | Pools h=2 s=2 | ph=A/prelock(0.01) | std h=1.00 s=0.62 | hider=+0.721  hid=0.86 (20ep) | seeker=-0.652  hid=0.83 (20ep) | barr=0.57 elev=0.12 rlock=0.03
Iter 35 | Steps 280000 | Pools h=2 s=2 | ph=A/prelock(0.01) | std h=1.00 s=0.62 | hider=+0.706  hid=0.85 (20ep) | seeker=-0.833  hid=0.92 (20ep) | barr=0.60 elev=0.06 rlock=0.17
Iter 36 | Steps 288000 | Pools h=2 s=2 | ph=A/prelock(0.01) | std h=1.00 s=0.62 | hider=+0.739  hid=0.87 (20ep) | seeker=-0.633  hid=0.82 (20ep) | barr=0.50 elev=0.06 rlock=0.10
Iter 37 | Steps 296000 | Pools h=2 s=2 | ph=A/prelock(0.01) | std h=1.00 s=0.62 | hider=+0.917  hid=0.96 (20ep) | seeker=-0.923  hid=0.96 (20ep) | barr=0.40 elev=0.04 rlock=0.07
Iter 38 | Steps 304000 | Pools h=2 s=2 | ph=A/prelock(0.01) | std h=1.00 s=0.62 | hider=+0.788  hid=0.89 (20ep) | seeker=-0.537  hid=0.77 (20ep) | barr=0.57 elev=0.08 rlock=0.03
Iter 39 | Steps 312000 | Pools h=2 s=2 | ph=A/prelock(0.01) | std h=1.00 s=0.62 | hider=+0.783  hid=0.89 (20ep) | seeker=-0.844  hid=0.92 (20ep) | barr=0.45 elev=0.04 rlock=0.05
Iter 40 | Steps 320000 | Pools h=2 s=2 | ph=A/prelock(0.01) | std h=1.00 s=0.62 | hider=+0.852  hid=0.93 (20ep) | seeker=-0.796  hid=0.90 (20ep) | barr=0.45 elev=0.04 rlock=0.03
Iter 41 | Steps 328000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=1.00 s=0.62 | hider=+0.658  hid=0.83 (20ep) | seeker=-0.843  hid=0.92 (20ep) | barr=0.50 elev=0.12 rlock=0.05
Iter 42 | Steps 336000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=1.00 s=0.62 | hider=+0.976  hid=0.99 (20ep) | seeker=-0.788  hid=0.89 (20ep) | barr=0.57 elev=0.04 rlock=0.07
Iter 43 | Steps 344000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=1.00 s=0.62 | hider=+0.973  hid=0.99 (20ep) | seeker=-0.786  hid=0.89 (20ep) | barr=0.42 elev=0.04 rlock=0.05
Iter 44 | Steps 352000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=1.00 s=0.62 | hider=+0.877  hid=0.94 (20ep) | seeker=-0.844  hid=0.92 (20ep) | barr=0.38 elev=0.05 rlock=0.07
Iter 45 | Steps 360000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=1.00 s=0.62 | hider=+0.729  hid=0.86 (20ep) | seeker=-0.715  hid=0.86 (20ep) | barr=0.42 elev=0.06 rlock=0.03
Iter 46 | Steps 368000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=1.00 s=0.62 | hider=+0.767  hid=0.88 (20ep) | seeker=-0.869  hid=0.93 (20ep) | barr=0.53 elev=0.06 rlock=0.05
Iter 47 | Steps 376000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=1.00 s=0.62 | hider=+0.827  hid=0.91 (20ep) | seeker=-0.619  hid=0.81 (20ep) | barr=0.57 elev=0.08 rlock=0.07
Iter 48 | Steps 384000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=1.00 s=0.62 | hider=+0.879  hid=0.94 (20ep) | seeker=-0.838  hid=0.92 (20ep) | barr=0.60 elev=0.03 rlock=0.03
Iter 49 | Steps 392000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=1.00 s=0.62 | hider=+0.861  hid=0.93 (20ep) | seeker=-0.906  hid=0.95 (20ep) | barr=0.57 elev=0.07 rlock=0.10
Iter 50 | Steps 400000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=1.00 s=0.62 | hider=+0.814  hid=0.91 (20ep) | seeker=-0.678  hid=0.84 (20ep) | barr=0.50 elev=0.06 rlock=0.05
Iter 51 | Steps 408000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=1.00 s=0.63 | hider=+0.685  hid=0.84 (20ep) | seeker=-0.811  hid=0.91 (20ep) | barr=0.53 elev=0.06 rlock=0.07
Iter 52 | Steps 416000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=1.00 s=0.63 | hider=+0.681  hid=0.84 (20ep) | seeker=-0.767  hid=0.88 (20ep) | barr=0.45 elev=0.05 rlock=0.05
Iter 53 | Steps 424000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=1.00 s=0.63 | hider=+0.821  hid=0.91 (20ep) | seeker=-0.761  hid=0.88 (20ep) | barr=0.45 elev=0.06 rlock=0.03
Iter 54 | Steps 432000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=1.00 s=0.63 | hider=+0.824  hid=0.91 (20ep) | seeker=-0.811  hid=0.91 (20ep) | barr=0.47 elev=0.06 rlock=0.05
Iter 55 | Steps 440000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=1.00 s=0.63 | hider=+0.890  hid=0.95 (20ep) | seeker=-0.735  hid=0.87 (20ep) | barr=0.50 elev=0.05 rlock=0.10
Iter 56 | Steps 448000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=1.00 s=0.63 | hider=+0.851  hid=0.93 (20ep) | seeker=-0.832  hid=0.92 (20ep) | barr=0.70 elev=0.04 rlock=0.10
Iter 57 | Steps 456000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=1.00 s=0.63 | hider=+0.832  hid=0.92 (20ep) | seeker=-0.952  hid=0.98 (20ep) | barr=0.57 elev=0.05 rlock=0.00
Iter 58 | Steps 464000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=1.00 s=0.63 | hider=+0.936  hid=0.97 (20ep) | seeker=-0.864  hid=0.93 (20ep) | barr=0.65 elev=0.06 rlock=0.07
Iter 59 | Steps 472000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=1.00 s=0.63 | hider=+0.694  hid=0.85 (20ep) | seeker=-0.890  hid=0.94 (20ep) | barr=0.55 elev=0.10 rlock=0.17
Iter 60 | Steps 480000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=1.00 s=0.63 | hider=+0.858  hid=0.93 (20ep) | seeker=-0.931  hid=0.97 (20ep) | barr=0.53 elev=0.05 rlock=0.05
Iter 61 | Steps 488000 | Pools h=4 s=4 | ph=A/prelock(0.01) | std h=1.00 s=0.63 | hider=+0.815  hid=0.91 (20ep) | seeker=-0.866  hid=0.93 (20ep) | barr=0.62 elev=0.07 rlock=0.05
Iter 62 | Steps 496000 | Pools h=4 s=4 | ph=A/prelock(0.01) | std h=1.00 s=0.63 | hider=+0.759  hid=0.88 (20ep) | seeker=-0.811  hid=0.91 (20ep) | barr=0.53 elev=0.08 rlock=0.03
Iter 63 | Steps 504000 | Pools h=4 s=4 | ph=A/prelock(0.01) | std h=1.00 s=0.63 | hider=+0.674  hid=0.84 (20ep) | seeker=-0.859  hid=0.93 (20ep) | barr=0.65 elev=0.10 rlock=0.10
Iter 64 | Steps 512000 | Pools h=4 s=4 | ph=A/prelock(0.01) | std h=1.00 s=0.63 | hider=+0.858  hid=0.93 (20ep) | seeker=-0.849  hid=0.92 (20ep) | barr=0.55 elev=0.04 rlock=0.03
Iter 65 | Steps 520000 | Pools h=4 s=4 | ph=A/prelock(0.01) | std h=1.00 s=0.63 | hider=+0.755  hid=0.88 (20ep) | seeker=-0.544  hid=0.77 (20ep) | barr=0.40 elev=0.14 rlock=0.10
