[train_hs] layout=open saving to hs_open_*.pt
Iter 46 | Steps 94208 | Pools h=8 s=8 | hider=-0.177  hid=0.41 (8ep) | seeker=+0.267  hid=0.37 (8ep)
Iter 47 | Steps 96256 | Pools h=8 s=8 | hider=-0.290  hid=0.36 (8ep) | seeker=+0.220  hid=0.39 (8ep)
Iter 48 | Steps 98304 | Pools h=8 s=8 | hider=-0.476  hid=0.26 (8ep) | seeker=+0.352  hid=0.32 (8ep)
Iter 49 | Steps 100352 | Pools h=8 s=8 | hider=+0.061  hid=0.53 (8ep) | seeker=+0.253  hid=0.37 (8ep)
Iter 50 | Steps 102400 | Pools h=8 s=8 | hider=-0.830  hid=0.09 (8ep) | seeker=+0.187  hid=0.41 (8ep)
Iter 51 | Steps 104448 | Pools h=8 s=8 | hider=-0.128  hid=0.44 (8ep) | seeker=+0.462  hid=0.27 (8ep)
Iter 52 | Steps 106496 | Pools h=8 s=8 | hider=-0.049  hid=0.48 (8ep) | seeker=+0.231  hid=0.38 (8ep)
Iter 53 | Steps 108544 | Pools h=8 s=8 | hider=-0.352  hid=0.32 (8ep) | seeker=+0.290  hid=0.36 (8ep)
Iter 54 | Steps 110592 | Pools h=8 s=8 | hider=-0.503  hid=0.25 (8ep) | seeker=+0.747  hid=0.13 (8ep)
Iter 55 | Steps 112640 | Pools h=8 s=8 | hider=-0.363  hid=0.32 (8ep) | seeker=+0.571  hid=0.21 (8ep)
Iter 56 | Steps 114688 | Pools h=8 s=8 | hider=-0.411  hid=0.29 (8ep) | seeker=+0.307  hid=0.35 (8ep)
Iter 57 | Steps 116736 | Pools h=8 s=8 | hider=-0.552  hid=0.22 (8ep) | seeker=+0.325  hid=0.34 (8ep)
Iter 58 | Steps 118784 | Pools h=8 s=8 | hider=-0.043  hid=0.48 (8ep) | seeker=+0.012  hid=0.49 (8ep)
Iter 59 | Steps 120832 | Pools h=8 s=8 | hider=-0.934  hid=0.03 (8ep) | seeker=+0.220  hid=0.39 (8ep)
Iter 60 | Steps 122880 | Pools h=8 s=8 | hider=-0.493  hid=0.25 (8ep) | seeker=+0.470  hid=0.26 (8ep)
Iter 61 | Steps 124928 | Pools h=8 s=8 | hider=-0.231  hid=0.38 (8ep) | seeker=+0.076  hid=0.46 (8ep)
Iter 62 | Steps 126976 | Pools h=8 s=8 | hider=-0.660  hid=0.17 (8ep) | seeker=+0.012  hid=0.49 (8ep)
Iter 63 | Steps 129024 | Pools h=8 s=8 | hider=-0.877  hid=0.06 (8ep) | seeker=+0.311  hid=0.34 (8ep)
Iter 64 | Steps 131072 | Pools h=8 s=8 | hider=-0.292  hid=0.35 (8ep) | seeker=+0.747  hid=0.13 (8ep)
Iter 65 | Steps 133120 | Pools h=8 s=8 | hider=-0.146  hid=0.43 (8ep) | seeker=+0.661  hid=0.17 (8ep)
Iter 66 | Steps 135168 | Pools h=8 s=8 | hider=-0.493  hid=0.25 (8ep) | seeker=+0.219  hid=0.39 (8ep)
Iter 67 | Steps 137216 | Pools h=8 s=8 | hider=-0.144  hid=0.43 (8ep) | seeker=+0.144  hid=0.43 (8ep)
Iter 68 | Steps 139264 | Pools h=8 s=8 | hider=-0.486  hid=0.26 (8ep) | seeker=+0.462  hid=0.27 (8ep)
Iter 69 | Steps 141312 | Pools h=8 s=8 | hider=-0.365  hid=0.32 (8ep) | seeker=+0.752* hid=0.12 (8ep)
Iter 70 | Steps 143360 | Pools h=9 s=9 | hider=-0.219  hid=0.39 (8ep) | seeker=+0.142  hid=0.43 (8ep)
Iter 71 | Steps 145408 | Pools h=9 s=9 | hider=-0.738  hid=0.13 (8ep) | seeker=+0.165  hid=0.42 (8ep)
Iter 72 | Steps 147456 | Pools h=9 s=9 | hider=-0.271  hid=0.36 (8ep) | seeker=+0.403  hid=0.30 (8ep)
Iter 73 | Steps 149504 | Pools h=9 s=9 | hider=+0.212* hid=0.61 (8ep) | seeker=+0.519  hid=0.24 (8ep)
Iter 74 | Steps 151552 | Pools h=10 s=10 | hider=-0.172  hid=0.41 (8ep) | seeker=+0.488  hid=0.26 (8ep)
Iter 75 | Steps 153600 | Pools h=10 s=10 | hider=-0.365  hid=0.32 (8ep) | seeker=+0.576  hid=0.21 (8ep)
Iter 76 | Steps 155648 | Pools h=10 s=10 | hider=-0.436  hid=0.28 (8ep) | seeker=+0.181  hid=0.41 (8ep)
Iter 77 | Steps 157696 | Pools h=10 s=10 | hider=-0.253  hid=0.37 (8ep) | seeker=+0.139  hid=0.43 (8ep)
Iter 78 | Steps 159744 | Pools h=10 s=10 | hider=-0.281  hid=0.36 (8ep) | seeker=+0.300  hid=0.35 (8ep)
Iter 79 | Steps 161792 | Pools h=10 s=10 | hider=-0.573  hid=0.21 (8ep) | seeker=+0.557  hid=0.22 (8ep)
Iter 80 | Steps 163840 | Pools h=10 s=10 | hider=+0.194  hid=0.60 (8ep) | seeker=+0.316  hid=0.34 (8ep)
Iter 81 | Steps 165888 | Pools h=10 s=10 | hider=-0.227  hid=0.39 (8ep) | seeker=+0.740  hid=0.13 (8ep)
Iter 82 | Steps 167936 | Pools h=10 s=10 | hider=-0.069  hid=0.47 (8ep) | seeker=+0.146  hid=0.43 (8ep)
Iter 83 | Steps 169984 | Pools h=10 s=10 | hider=-0.628  hid=0.19 (8ep) | seeker=+0.208  hid=0.40 (8ep)
Iter 84 | Steps 172032 | Pools h=10 s=10 | hider=-0.035  hid=0.48 (8ep) | seeker=+0.503  hid=0.25 (8ep)
Iter 85 | Steps 174080 | Pools h=10 s=10 | hider=-0.260  hid=0.37 (8ep) | seeker=+0.184  hid=0.41 (8ep)
Iter 86 | Steps 176128 | Pools h=10 s=10 | hider=-0.434  hid=0.28 (8ep) | seeker=+0.217  hid=0.39 (8ep)
Iter 87 | Steps 178176 | Pools h=10 s=10 | hider=-0.583  hid=0.21 (8ep) | seeker=-0.021  hid=0.51 (8ep)
Iter 88 | Steps 180224 | Pools h=10 s=10 | hider=-0.345  hid=0.33 (8ep) | seeker=+0.491  hid=0.25 (8ep)
Iter 89 | Steps 182272 | Pools h=10 s=10 | hider=-0.510  hid=0.24 (8ep) | seeker=+0.125  hid=0.44 (8ep)
Iter 90 | Steps 184320 | Pools h=10 s=10 | hider=-0.345  hid=0.33 (8ep) | seeker=+0.295  hid=0.35 (8ep)
Iter 91 | Steps 186368 | Pools h=10 s=10 | hider=-0.724  hid=0.14 (8ep) | seeker=+0.215  hid=0.39 (8ep)
Iter 92 | Steps 188416 | Pools h=10 s=10 | hider=-0.561  hid=0.22 (8ep) | seeker=-0.151  hid=0.58 (8ep)
Iter 93 | Steps 190464 | Pools h=10 s=10 | hider=-0.189  hid=0.41 (8ep) | seeker=+0.010  hid=0.49 (8ep)
Iter 94 | Steps 192512 | Pools h=10 s=10 | hider=-0.345  hid=0.33 (8ep) | seeker=+0.059  hid=0.47 (8ep)
Iter 95 | Steps 194560 | Pools h=10 s=10 | hider=-0.521  hid=0.24 (8ep) | seeker=+0.127  hid=0.44 (8ep)
Iter 96 | Steps 196608 | Pools h=10 s=10 | hider=+0.040  hid=0.52 (8ep) | seeker=+0.224  hid=0.39 (8ep)
Iter 97 | Steps 198656 | Pools h=10 s=10 | hider=-0.083  hid=0.46 (8ep) | seeker=+0.432  hid=0.28 (8ep)
Iter 98 | Steps 200704 | Pools h=10 s=10 | hider=-0.523  hid=0.24 (8ep) | seeker=+0.394  hid=0.30 (8ep)
Iter 99 | Steps 202752 | Pools h=10 s=10 | hider=-0.257  hid=0.37 (8ep) | seeker=+0.144  hid=0.43 (8ep)
Iter 100 | Steps 204800 | Pools h=10 s=10 | hider=-0.764  hid=0.12 (8ep) | seeker=+0.668  hid=0.17 (8ep)
Iter 101 | Steps 206848 | Pools h=10 s=10 | hider=-0.521  hid=0.24 (8ep) | seeker=+0.226  hid=0.39 (8ep)
Iter 102 | Steps 208896 | Pools h=10 s=10 | hider=-0.674  hid=0.16 (8ep) | seeker=+0.410  hid=0.30 (8ep)
Iter 103 | Steps 210944 | Pools h=10 s=10 | hider=-0.866  hid=0.07 (8ep) | seeker=-0.023  hid=0.51 (8ep)
Iter 104 | Steps 212992 | Pools h=10 s=10 | hider=-0.385  hid=0.31 (8ep) | seeker=+0.576  hid=0.21 (8ep)
Iter 105 | Steps 215040 | Pools h=10 s=10 | hider=-0.262  hid=0.37 (8ep) | seeker=-0.151  hid=0.58 (8ep)
