[train_hs2] 2v2 layout=open boxes=6 obs=55 steps=10000000 saving to hs_2v2_*.pt
Iter 46 | Steps 94208 | Pools h=7 s=7 | hider=-0.752  hid=0.12 (8ep) | seeker=+0.649  hid=0.18 (8ep)
Iter 47 | Steps 96256 | Pools h=7 s=7 | hider=-0.951  hid=0.02 (8ep) | seeker=+0.642  hid=0.18 (8ep)
Iter 48 | Steps 98304 | Pools h=7 s=7 | hider=-0.865  hid=0.07 (8ep) | seeker=+1.000  hid=0.00 (8ep)
Iter 49 | Steps 100352 | Pools h=7 s=7 | hider=-0.776  hid=0.11 (8ep) | seeker=+1.000  hid=0.00 (8ep)
Iter 50 | Steps 102400 | Pools h=7 s=7 | hider=-0.936  hid=0.03 (8ep) | seeker=+0.705  hid=0.15 (8ep)
Iter 51 | Steps 104448 | Pools h=7 s=7 | hider=-0.917  hid=0.04 (8ep) | seeker=+0.875  hid=0.06 (8ep)
Iter 52 | Steps 106496 | Pools h=7 s=7 | hider=-0.698  hid=0.15 (8ep) | seeker=+0.859  hid=0.07 (8ep)
Iter 53 | Steps 108544 | Pools h=7 s=7 | hider=-0.884  hid=0.06 (8ep) | seeker=+0.851  hid=0.07 (8ep)
Iter 54 | Steps 110592 | Pools h=7 s=7 | hider=-0.783  hid=0.11 (8ep) | seeker=+0.793  hid=0.10 (8ep)
Iter 55 | Steps 112640 | Pools h=7 s=7 | hider=-1.000  hid=0.00 (8ep) | seeker=+0.990  hid=0.01 (8ep)
Iter 56 | Steps 114688 | Pools h=7 s=7 | hider=-0.734  hid=0.13 (8ep) | seeker=+0.958  hid=0.02 (8ep)
Iter 57 | Steps 116736 | Pools h=7 s=7 | hider=-0.941  hid=0.03 (8ep) | seeker=+0.783  hid=0.11 (8ep)
Iter 58 | Steps 118784 | Pools h=7 s=7 | hider=-0.993  hid=0.00 (8ep) | seeker=+0.870  hid=0.07 (8ep)
Iter 59 | Steps 120832 | Pools h=7 s=7 | hider=-0.833  hid=0.08 (8ep) | seeker=+0.613  hid=0.19 (8ep)
Iter 60 | Steps 122880 | Pools h=7 s=7 | hider=-0.797  hid=0.10 (8ep) | seeker=+0.851  hid=0.07 (8ep)
Iter 61 | Steps 124928 | Pools h=7 s=7 | hider=-0.738  hid=0.13 (8ep) | seeker=+0.835  hid=0.08 (8ep)
Iter 62 | Steps 126976 | Pools h=7 s=7 | hider=-0.774  hid=0.11 (8ep) | seeker=+0.714  hid=0.14 (8ep)
Iter 63 | Steps 129024 | Pools h=7 s=7 | hider=-0.998  hid=0.00 (8ep) | seeker=+1.000  hid=0.00 (8ep)
Iter 64 | Steps 131072 | Pools h=7 s=7 | hider=-0.705  hid=0.15 (8ep) | seeker=+0.924  hid=0.04 (8ep)
Iter 65 | Steps 133120 | Pools h=7 s=7 | hider=-0.637  hid=0.18 (8ep) | seeker=+0.937  hid=0.03 (8ep)
Iter 66 | Steps 135168 | Pools h=7 s=7 | hider=-0.861  hid=0.07 (8ep) | seeker=+0.700  hid=0.15 (8ep)
Iter 67 | Steps 137216 | Pools h=7 s=7 | hider=-0.887  hid=0.06 (8ep) | seeker=+0.960  hid=0.02 (8ep)
Iter 68 | Steps 139264 | Pools h=7 s=7 | hider=-0.870  hid=0.07 (8ep) | seeker=+0.639  hid=0.18 (8ep)
Iter 69 | Steps 141312 | Pools h=7 s=7 | hider=-0.878  hid=0.06 (8ep) | seeker=+0.793  hid=0.10 (8ep)
Iter 70 | Steps 143360 | Pools h=7 s=7 | hider=-0.991  hid=0.00 (8ep) | seeker=+0.839  hid=0.08 (8ep)
Iter 71 | Steps 145408 | Pools h=7 s=7 | hider=-0.934  hid=0.03 (8ep) | seeker=+0.865  hid=0.07 (8ep)
Iter 72 | Steps 147456 | Pools h=7 s=7 | hider=-0.736  hid=0.13 (8ep) | seeker=+0.997  hid=0.00 (8ep)
Iter 73 | Steps 149504 | Pools h=7 s=7 | hider=-0.750  hid=0.12 (8ep) | seeker=+0.981  hid=0.01 (8ep)
Iter 74 | Steps 151552 | Pools h=7 s=7 | hider=-0.589  hid=0.21 (8ep) | seeker=+0.896  hid=0.05 (8ep)
Iter 75 | Steps 153600 | Pools h=7 s=7 | hider=-0.700  hid=0.15 (8ep) | seeker=+0.946  hid=0.03 (8ep)
Iter 76 | Steps 155648 | Pools h=7 s=7 | hider=-0.858  hid=0.07 (8ep) | seeker=+0.934  hid=0.03 (8ep)
Iter 77 | Steps 157696 | Pools h=7 s=7 | hider=-0.944  hid=0.03 (8ep) | seeker=+0.745  hid=0.13 (8ep)
Iter 78 | Steps 159744 | Pools h=7 s=7 | hider=-0.825  hid=0.09 (8ep) | seeker=+0.811  hid=0.09 (8ep)
Iter 79 | Steps 161792 | Pools h=7 s=7 | hider=-0.472* hid=0.26 (8ep) | seeker=+0.778  hid=0.11 (8ep)
Iter 80 | Steps 163840 | Pools h=8 s=8 | hider=-0.771  hid=0.11 (8ep) | seeker=+0.969  hid=0.02 (8ep)
Iter 81 | Steps 165888 | Pools h=8 s=8 | hider=-0.986  hid=0.01 (8ep) | seeker=+0.743  hid=0.13 (8ep)
Iter 82 | Steps 167936 | Pools h=8 s=8 | hider=-0.682  hid=0.16 (8ep) | seeker=+0.863  hid=0.07 (8ep)
Iter 83 | Steps 169984 | Pools h=8 s=8 | hider=-0.708  hid=0.15 (8ep) | seeker=+0.656  hid=0.17 (8ep)
Iter 84 | Steps 172032 | Pools h=8 s=8 | hider=-0.844  hid=0.08 (8ep) | seeker=+0.929  hid=0.04 (8ep)
Iter 85 | Steps 174080 | Pools h=8 s=8 | hider=-0.939  hid=0.03 (8ep) | seeker=+0.780  hid=0.11 (8ep)
Iter 86 | Steps 176128 | Pools h=8 s=8 | hider=-0.476  hid=0.26 (8ep) | seeker=+0.887  hid=0.06 (8ep)
Iter 87 | Steps 178176 | Pools h=8 s=8 | hider=-0.741  hid=0.13 (8ep) | seeker=+0.802  hid=0.10 (8ep)
