Steps: 174080 | Eps: 10 | hider=   +2.0  | seeker=   -2.0 
Steps: 176128 | Eps: 12 | hider=   +1.8  | seeker=   -1.8 
Steps: 178176 | Eps: 11 | hider=   +1.8  | seeker=   -1.8 
Steps: 180224 | Eps: 11 | hider=   +1.8  | seeker=   -1.8 
Steps: 182272 | Eps: 9 | hider=   +2.1  | seeker=   -2.1 
Steps: 184320 | Eps: 10 | hider=   +2.2  | seeker=   -2.2 
Steps: 186368 | Eps: 10 | hider=   +2.0  | seeker=   -2.0 
Steps: 188416 | Eps: 10 | hider=   +2.0  | seeker=   -2.0 
Steps: 190464 | Eps: 9 | hider=   +2.4  | seeker=   -2.4 
Steps: 192512 | Eps: 10 | hider=   +1.9  | seeker=   -1.9 
Steps: 194560 | Eps: 10 | hider=   +2.0  | seeker=   -2.0 
Steps: 196608 | Eps: 11 | hider=   +2.0  | seeker=   -2.0 
Steps: 198656 | Eps: 9 | hider=   +2.3  | seeker=   -2.3 
Steps: 200704 | Eps: 10 | hider=   +2.1  | seeker=   -2.1 
Steps: 202752 | Eps: 11 | hider=   +1.7  | seeker=   -1.7 
Steps: 204800 | Eps: 11 | hider=   +1.8  | seeker=   -1.8 
Steps: 206848 | Eps: 11 | hider=   +1.8  | seeker=   -1.8 
Steps: 208896 | Eps: 12 | hider=   +1.6  | seeker=   -1.6*
Steps: 210944 | Eps: 9 | hider=   +2.4  | seeker=   -2.4 
Steps: 212992 | Eps: 10 | hider=   +2.1  | seeker=   -2.1 
Steps: 215040 | Eps: 9 | hider=   +2.0  | seeker=   -2.0 
Steps: 217088 | Eps: 10 | hider=   +2.1  | seeker=   -2.1 
Steps: 219136 | Eps: 10 | hider=   +2.0  | seeker=   -2.0 
Steps: 221184 | Eps: 11 | hider=   +2.0  | seeker=   -2.0 
Steps: 223232 | Eps: 11 | hider=   +1.9  | seeker=   -1.9 
Steps: 225280 | Eps: 10 | hider=   +1.9  | seeker=   -1.9 
Steps: 227328 | Eps: 10 | hider=   +2.0  | seeker=   -2.0 
Steps: 229376 | Eps: 11 | hider=   +2.0  | seeker=   -2.0 
Steps: 231424 | Eps: 9 | hider=   +2.3  | seeker=   -2.3 
Steps: 233472 | Eps: 10 | hider=   +1.9  | seeker=   -1.9 
Steps: 235520 | Eps: 10 | hider=   +2.2  | seeker=   -2.2 
Steps: 237568 | Eps: 8 | hider=   +2.4  | seeker=   -2.4 
Steps: 239616 | Eps: 11 | hider=   +1.9  | seeker=   -1.9 
Steps: 241664 | Eps: 9 | hider=   +2.1  | seeker=   -2.1 
Steps: 243712 | Eps: 13 | hider=   +1.6  | seeker=   -1.6*
Steps: 245760 | Eps: 11 | hider=   +1.8  | seeker=   -1.8 
Steps: 247808 | Eps: 9 | hider=   +2.3  | seeker=   -2.3 
Steps: 249856 | Eps: 9 | hider=   +2.4  | seeker=   -2.4 
Steps: 251904 | Eps: 9 | hider=   +2.2  | seeker=   -2.2 
Steps: 253952 | Eps: 11 | hider=   +1.7  | seeker=   -1.7 
Steps: 256000 | Eps: 11 | hider=   +1.9  | seeker=   -1.9 
Steps: 258048 | Eps: 10 | hider=   +2.1  | seeker=   -2.1 
Steps: 260096 | Eps: 10 | hider=   +2.0  | seeker=   -2.0 
Steps: 262144 | Eps: 12 | hider=   +1.7  | seeker=   -1.7 
Steps: 264192 | Eps: 9 | hider=   +2.3  | seeker=   -2.3 
Steps: 266240 | Eps: 9 | hider=   +2.2  | seeker=   -2.2 
Steps: 268288 | Eps: 10 | hider=   +2.0  | seeker=   -2.0 
Steps: 270336 | Eps: 10 | hider=   +2.0  | seeker=   -2.0 
Steps: 272384 | Eps: 10 | hider=   +2.0  | seeker=   -2.0 
Steps: 274432 | Eps: 12 | hider=   +1.7  | seeker=   -1.7 
Steps: 276480 | Eps: 9 | hider=   +2.2  | seeker=   -2.2 
Steps: 278528 | Eps: 13 | hider=   +1.7  | seeker=   -1.7 
Steps: 280576 | Eps: 8 | hider=   +2.4  | seeker=   -2.4 
Steps: 282624 | Eps: 11 | hider=   +1.9  | seeker=   -1.9 
Steps: 284672 | Eps: 13 | hider=   +1.6  | seeker=   -1.6*
Steps: 286720 | Eps: 12 | hider=   +1.7  | seeker=   -1.7 
Steps: 288768 | Eps: 10 | hider=   +1.8  | seeker=   -1.8 
Steps: 290816 | Eps: 12 | hider=   +1.9  | seeker=   -1.9 
Steps: 292864 | Eps: 9 | hider=   +2.1  | seeker=   -2.1 
Steps: 294912 | Eps: 9 | hider=   +2.3  | seeker=   -2.3 
Steps: 296960 | Eps: 11 | hider=   +1.9  | seeker=   -1.9 
Steps: 299008 | Eps: 10 | hider=   +2.1  | seeker=   -2.1 
Steps: 301056 | Eps: 9 | hider=   +2.1  | seeker=   -2.1 
Steps: 303104 | Eps: 9 | hider=   +2.2  | seeker=   -2.2 
Steps: 305152 | Eps: 13 | hider=   +1.6  | seeker=   -1.6 
Steps: 307200 | Eps: 9 | hider=   +2.1  | seeker=   -2.1 
Steps: 309248 | Eps: 11 | hider=   +1.9  | seeker=   -1.9 
