[train_hs7_lstm] 1v2 room+ramp LSTM obs=33 steps=40000000 s2=6000000-12000000 hidden=256 rollout=8192 -> hs_lstm_*.pt
/Users/zidan/Desktop/has/train_hs7_lstm.py:191: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /Users/runner/work/pytorch/pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:839.)
  "std " + " ".join(f"{t[0]}={float(live[t].ac._std().mean()):.2f}" for t in TEAMS)]
Iter 26 | Steps 212992 | Pools h=1 s=1 | p2=0.00 | std h=0.99 s=0.98 | hider=+0.840  hid=0.92 (22ep) | seeker=-0.767  hid=0.88 (22ep) | barr=0.11 elev=0.19 rlock=0.02
Iter 27 | Steps 221184 | Pools h=1 s=1 | p2=0.00 | std h=0.99 s=0.98 | hider=+0.893  hid=0.95 (22ep) | seeker=-0.670  hid=0.84 (22ep) | barr=0.09 elev=0.21 rlock=0.09
Iter 28 | Steps 229376 | Pools h=1 s=1 | p2=0.00 | std h=0.99 s=0.98 | hider=+0.799  hid=0.90 (22ep) | seeker=-0.819  hid=0.91 (22ep) | barr=0.14 elev=0.11 rlock=0.05
Iter 29 | Steps 237568 | Pools h=1 s=1 | p2=0.00 | std h=0.99 s=0.98 | hider=+0.849  hid=0.92 (22ep) | seeker=-0.819  hid=0.91 (22ep) | barr=0.11 elev=0.13 rlock=0.02
Iter 30 | Steps 245760 | Pools h=1 s=1 | p2=0.00 | std h=0.99 s=0.98 | hider=+0.883  hid=0.94 (22ep) | seeker=-0.850  hid=0.92 (22ep) | barr=0.14 elev=0.13 rlock=0.05
Iter 31 | Steps 253952 | Pools h=1 s=1 | p2=0.00 | std h=1.00 s=0.98 | hider=+0.729  hid=0.86 (22ep) | seeker=-0.865  hid=0.93 (22ep) | barr=0.02 elev=0.09 rlock=0.07
Iter 32 | Steps 262144 | Pools h=1 s=1 | p2=0.00 | std h=1.00 s=0.98 | hider=+0.608  hid=0.80 (22ep) | seeker=-0.763  hid=0.88 (22ep) | barr=0.11 elev=0.09 rlock=0.09
Iter 33 | Steps 270336 | Pools h=1 s=1 | p2=0.00 | std h=1.00 s=0.98 | hider=+0.923* hid=0.96 (22ep) | seeker=-0.818  hid=0.91 (22ep) | barr=0.16 elev=0.12 rlock=0.00
Iter 34 | Steps 278528 | Pools h=1 s=1 | p2=0.00 | std h=1.00 s=0.98 | hider=+0.785  hid=0.89 (22ep) | seeker=-0.665  hid=0.83 (22ep) | barr=0.11 elev=0.11 rlock=0.05
Iter 35 | Steps 286720 | Pools h=1 s=1 | p2=0.00 | std h=1.00 s=0.98 | hider=+0.840  hid=0.92 (22ep) | seeker=-0.789  hid=0.89 (22ep) | barr=0.16 elev=0.09 rlock=0.05
Iter 36 | Steps 294912 | Pools h=1 s=1 | p2=0.00 | std h=1.00 s=0.98 | hider=+0.830  hid=0.92 (22ep) | seeker=-0.726  hid=0.86 (22ep) | barr=0.05 elev=0.19 rlock=0.05
Iter 37 | Steps 303104 | Pools h=1 s=1 | p2=0.00 | std h=0.99 s=0.98 | hider=+0.911  hid=0.96 (22ep) | seeker=-0.554  hid=0.78 (22ep) | barr=0.11 elev=0.22 rlock=0.05
Iter 38 | Steps 311296 | Pools h=1 s=1 | p2=0.00 | std h=1.00 s=0.97 | hider=+0.691  hid=0.85 (22ep) | seeker=-0.910  hid=0.95 (22ep) | barr=0.09 elev=0.06 rlock=0.05
Iter 39 | Steps 319488 | Pools h=1 s=1 | p2=0.00 | std h=0.99 s=0.97 | hider=+0.758  hid=0.88 (22ep) | seeker=-0.752  hid=0.88 (22ep) | barr=0.20 elev=0.16 rlock=0.07
Iter 40 | Steps 327680 | Pools h=1 s=1 | p2=0.00 | std h=0.99 s=0.97 | hider=+0.691  hid=0.85 (22ep) | seeker=-0.697  hid=0.85 (22ep) | barr=0.02 elev=0.17 rlock=0.05
Iter 41 | Steps 335872 | Pools h=1 s=1 | p2=0.00 | std h=0.99 s=0.97 | hider=+0.880  hid=0.94 (22ep) | seeker=-0.839  hid=0.92 (22ep) | barr=0.16 elev=0.16 rlock=0.07
Iter 42 | Steps 344064 | Pools h=1 s=1 | p2=0.00 | std h=1.00 s=0.97 | hider=+0.736  hid=0.87 (22ep) | seeker=-0.686  hid=0.84 (22ep) | barr=0.09 elev=0.13 rlock=0.09
Iter 43 | Steps 352256 | Pools h=1 s=1 | p2=0.00 | std h=1.00 s=0.97 | hider=+0.796  hid=0.90 (22ep) | seeker=-0.769  hid=0.88 (22ep) | barr=0.14 elev=0.08 rlock=0.07
Iter 44 | Steps 360448 | Pools h=1 s=1 | p2=0.00 | std h=1.00 s=0.97 | hider=+0.877  hid=0.94 (22ep) | seeker=-0.696  hid=0.85 (22ep) | barr=0.14 elev=0.13 rlock=0.07
Iter 45 | Steps 368640 | Pools h=1 s=1 | p2=0.00 | std h=0.99 s=0.97 | hider=+0.815  hid=0.91 (22ep) | seeker=-0.526  hid=0.76 (22ep) | barr=0.11 elev=0.19 rlock=0.05
Iter 46 | Steps 376832 | Pools h=1 s=1 | p2=0.00 | std h=0.99 s=0.97 | hider=+0.824  hid=0.91 (22ep) | seeker=-0.732  hid=0.87 (22ep) | barr=0.14 elev=0.11 rlock=0.09
Iter 47 | Steps 385024 | Pools h=1 s=1 | p2=0.00 | std h=1.00 s=0.97 | hider=+0.715  hid=0.86 (22ep) | seeker=-0.762  hid=0.88 (22ep) | barr=0.09 elev=0.13 rlock=0.02
Iter 48 | Steps 393216 | Pools h=1 s=1 | p2=0.00 | std h=0.99 s=0.97 | hider=+0.833  hid=0.92 (22ep) | seeker=-0.670  hid=0.83 (22ep) | barr=0.07 elev=0.12 rlock=0.00
Iter 49 | Steps 401408 | Pools h=1 s=1 | p2=0.00 | std h=0.99 s=0.97 | hider=+0.609  hid=0.80 (22ep) | seeker=-0.649  hid=0.82 (22ep) | barr=0.09 elev=0.08 rlock=0.05
Iter 50 | Steps 409600 | Pools h=1 s=1 | p2=0.00 | std h=0.99 s=0.97 | hider=+0.688  hid=0.84 (22ep) | seeker=-0.717  hid=0.86 (22ep) | barr=0.20 elev=0.08 rlock=0.18
Iter 51 | Steps 417792 | Pools h=1 s=1 | p2=0.00 | std h=0.99 s=0.97 | hider=+0.863  hid=0.93 (22ep) | seeker=-0.844  hid=0.92 (22ep) | barr=0.16 elev=0.08 rlock=0.05
Iter 52 | Steps 425984 | Pools h=1 s=1 | p2=0.00 | std h=0.99 s=0.98 | hider=+0.717  hid=0.86 (22ep) | seeker=-0.678  hid=0.84 (22ep) | barr=0.07 elev=0.18 rlock=0.07
Iter 53 | Steps 434176 | Pools h=1 s=1 | p2=0.00 | std h=0.99 s=0.98 | hider=+0.793  hid=0.90 (22ep) | seeker=-0.701  hid=0.85 (22ep) | barr=0.16 elev=0.25 rlock=0.05
Iter 54 | Steps 442368 | Pools h=1 s=1 | p2=0.00 | std h=0.99 s=0.98 | hider=+0.949* hid=0.97 (22ep) | seeker=-0.808  hid=0.90 (22ep) | barr=0.07 elev=0.03 rlock=0.02
Iter 55 | Steps 450560 | Pools h=1 s=1 | p2=0.00 | std h=0.99 s=0.98 | hider=+0.878  hid=0.94 (22ep) | seeker=-0.763  hid=0.88 (22ep) | barr=0.18 elev=0.13 rlock=0.09
Iter 56 | Steps 458752 | Pools h=1 s=1 | p2=0.00 | std h=0.99 s=0.98 | hider=+0.724  hid=0.86 (22ep) | seeker=-0.750  hid=0.87 (22ep) | barr=0.07 elev=0.07 rlock=0.05
