Iter 58 | Steps 118784 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.400  (8ep)
Iter 59 | Steps 120832 | Pools h=4 s=4 | hider=+2.146  (9ep) | seeker=-2.227  (8ep)
Iter 60 | Steps 122880 | Pools h=4 s=4 | hider=+2.127  (9ep) | seeker=-2.046  (9ep)
Iter 61 | Steps 124928 | Pools h=4 s=4 | hider=+2.185  (8ep) | seeker=-1.823  (9ep)
Iter 62 | Steps 126976 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-1.878  (9ep)
Iter 63 | Steps 129024 | Pools h=4 s=4 | hider=+2.035  (8ep) | seeker=-1.707  (10ep)
Iter 64 | Steps 131072 | Pools h=4 s=4 | hider=+2.091  (9ep) | seeker=-2.146  (9ep)
Iter 65 | Steps 133120 | Pools h=4 s=4 | hider=+2.031  (8ep) | seeker=-1.709  (9ep)
Iter 66 | Steps 135168 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.400  (8ep)
Iter 67 | Steps 137216 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-1.771  (9ep)
Iter 68 | Steps 139264 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.400  (8ep)
Iter 69 | Steps 141312 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-1.979  (9ep)
Iter 70 | Steps 143360 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.177  (8ep)
Iter 71 | Steps 145408 | Pools h=4 s=4 | hider=+1.807  (9ep) | seeker=-2.400  (8ep)
Iter 72 | Steps 147456 | Pools h=4 s=4 | hider=+1.928  (9ep) | seeker=-2.400  (8ep)
Iter 73 | Steps 149504 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-1.958  (9ep)
Iter 74 | Steps 151552 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.154  (8ep)
Iter 75 | Steps 153600 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.146  (8ep)
Iter 76 | Steps 155648 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-1.829  (9ep)
Iter 77 | Steps 157696 | Pools h=4 s=4 | hider=+2.121  (9ep) | seeker=-1.880  (9ep)
Iter 78 | Steps 159744 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.400  (8ep)
Iter 79 | Steps 161792 | Pools h=4 s=4 | hider=+1.980  (9ep) | seeker=-2.114  (9ep)
Iter 80 | Steps 163840 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-1.836  (10ep)
Iter 81 | Steps 165888 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.250  (8ep)
Iter 82 | Steps 167936 | Pools h=4 s=4 | hider=+2.116  (9ep) | seeker=-2.139  (9ep)
Iter 83 | Steps 169984 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-1.742  (9ep)
Iter 84 | Steps 172032 | Pools h=4 s=4 | hider=+2.160  (9ep) | seeker=-1.943  (9ep)
Iter 85 | Steps 174080 | Pools h=4 s=4 | hider=+2.245  (8ep) | seeker=-2.151  (9ep)
Iter 86 | Steps 176128 | Pools h=4 s=4 | hider=+1.979  (9ep) | seeker=-1.821  (9ep)
Iter 87 | Steps 178176 | Pools h=4 s=4 | hider=+2.201  (8ep) | seeker=-1.994  (9ep)
Iter 88 | Steps 180224 | Pools h=4 s=4 | hider=+1.614  (10ep) | seeker=-2.144  (9ep)
Iter 89 | Steps 182272 | Pools h=4 s=4 | hider=+1.913  (9ep) | seeker=-1.833  (9ep)
Iter 90 | Steps 184320 | Pools h=4 s=4 | hider=+2.154  (9ep) | seeker=-1.650  (10ep)
Iter 91 | Steps 186368 | Pools h=4 s=4 | hider=+2.254  (8ep) | seeker=-2.400  (8ep)
Iter 92 | Steps 188416 | Pools h=4 s=4 | hider=+2.107  (8ep) | seeker=-2.215  (8ep)
Iter 93 | Steps 190464 | Pools h=4 s=4 | hider=+2.039  (9ep) | seeker=-1.950  (9ep)
Iter 94 | Steps 192512 | Pools h=4 s=4 | hider=+2.133  (9ep) | seeker=-2.189  (8ep)
Iter 95 | Steps 194560 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.225  (8ep)
Iter 96 | Steps 196608 | Pools h=4 s=4 | hider=+2.118  (9ep) | seeker=-2.227  (8ep)
Iter 97 | Steps 198656 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.159  (9ep)
Iter 98 | Steps 200704 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.164  (9ep)
Iter 99 | Steps 202752 | Pools h=4 s=4 | hider=+2.024  (9ep) | seeker=-2.400  (8ep)
Iter 100 | Steps 204800 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.235  (8ep)
Iter 101 | Steps 206848 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.400  (8ep)
Iter 102 | Steps 208896 | Pools h=4 s=4 | hider=+2.139  (8ep) | seeker=-1.743  (10ep)
Iter 103 | Steps 210944 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.400  (8ep)
Iter 104 | Steps 212992 | Pools h=4 s=4 | hider=+2.163  (9ep) | seeker=-1.956  (9ep)
Iter 105 | Steps 215040 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-1.881  (9ep)
Iter 106 | Steps 217088 | Pools h=4 s=4 | hider=+2.182  (8ep) | seeker=-1.742  (10ep)
Iter 107 | Steps 219136 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-1.987  (9ep)
Iter 108 | Steps 221184 | Pools h=4 s=4 | hider=+1.788  (9ep) | seeker=-2.265  (8ep)
Iter 109 | Steps 223232 | Pools h=4 s=4 | hider=+1.833  (9ep) | seeker=-2.400  (8ep)
Iter 110 | Steps 225280 | Pools h=4 s=4 | hider=+2.186  (8ep) | seeker=-2.266  (8ep)
Iter 111 | Steps 227328 | Pools h=4 s=4 | hider=+2.215  (8ep) | seeker=-2.400  (8ep)
Iter 112 | Steps 229376 | Pools h=4 s=4 | hider=+2.262  (8ep) | seeker=-2.038  (9ep)
Iter 113 | Steps 231424 | Pools h=4 s=4 | hider=+2.134  (9ep) | seeker=-2.138  (9ep)
Iter 114 | Steps 233472 | Pools h=4 s=4 | hider=+2.132  (9ep) | seeker=-1.876  (9ep)
Iter 115 | Steps 235520 | Pools h=4 s=4 | hider=+1.911  (9ep) | seeker=-2.130  (9ep)
Iter 116 | Steps 237568 | Pools h=4 s=4 | hider=+1.920  (9ep) | seeker=-2.400  (8ep)
Iter 117 | Steps 239616 | Pools h=4 s=4 | hider=+1.476  (10ep) | seeker=-1.961  (9ep)
Iter 118 | Steps 241664 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.239  (8ep)
Iter 119 | Steps 243712 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.157  (9ep)
Iter 120 | Steps 245760 | Pools h=4 s=4 | hider=+1.796  (9ep) | seeker=-2.272  (8ep)
Iter 121 | Steps 247808 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.400  (8ep)
Iter 122 | Steps 249856 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.237  (8ep)
Iter 123 | Steps 251904 | Pools h=4 s=4 | hider=+1.990  (9ep) | seeker=-2.400  (8ep)
Iter 124 | Steps 253952 | Pools h=4 s=4 | hider=+2.027  (8ep) | seeker=-2.110  (9ep)
Iter 125 | Steps 256000 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-1.869  (9ep)
Iter 126 | Steps 258048 | Pools h=4 s=4 | hider=+2.102  (9ep) | seeker=-2.400  (8ep)
Iter 127 | Steps 260096 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.119  (9ep)
Iter 128 | Steps 262144 | Pools h=4 s=4 | hider=+1.961  (9ep) | seeker=-2.142  (9ep)
Iter 129 | Steps 264192 | Pools h=4 s=4 | hider=+2.159  (8ep) | seeker=-1.657  (10ep)
Iter 130 | Steps 266240 | Pools h=4 s=4 | hider=+1.856  (9ep) | seeker=-2.017  (8ep)
Iter 131 | Steps 268288 | Pools h=4 s=4 | hider=+1.830  (9ep) | seeker=-2.237  (8ep)
Iter 132 | Steps 270336 | Pools h=4 s=4 | hider=+1.537  (10ep) | seeker=-2.400  (8ep)
Iter 133 | Steps 272384 | Pools h=4 s=4 | hider=+1.542  (10ep) | seeker=-2.186  (8ep)
Iter 134 | Steps 274432 | Pools h=4 s=4 | hider=+1.699  (10ep) | seeker=-1.927  (9ep)
Iter 135 | Steps 276480 | Pools h=4 s=4 | hider=+1.906  (9ep) | seeker=-2.400  (8ep)
Iter 136 | Steps 278528 | Pools h=4 s=4 | hider=+2.084  (9ep) | seeker=-2.400  (8ep)
Iter 137 | Steps 280576 | Pools h=4 s=4 | hider=+2.222  (8ep) | seeker=-1.602  (10ep)
Iter 138 | Steps 282624 | Pools h=4 s=4 | hider=+1.956  (9ep) | seeker=-2.400  (8ep)
Iter 139 | Steps 284672 | Pools h=4 s=4 | hider=+2.200  (8ep) | seeker=-2.400  (8ep)
Iter 140 | Steps 286720 | Pools h=4 s=4 | hider=+2.400  (8ep) | seeker=-2.400  (8ep)
