[train_hs7] room+ramp 1v1 obs=28 steps=16000000 ramp=0-1 saving to hs_ramp_*.pt
[train_hs7] warm-started both nets from hs_ramp_*.pt
[curriculum] ramp fully active at 2048 steps — save-best reset, checkpoints now reflect the full game only
Iter 28 | Steps 57344 | Pools h=6 s=6 | pR=1.00 | std h=2.68 s=0.28 | hider=+0.348  hid=0.67 (5ep) | seeker=-0.870  hid=0.94 (5ep) | barr=0.00 elev=0.09 rlock=0.00
Iter 29 | Steps 59392 | Pools h=6 s=6 | pR=1.00 | std h=2.66 s=0.29 | hider=+0.961  hid=0.98 (5ep) | seeker=-0.593  hid=0.80 (5ep) | barr=0.00 elev=0.20 rlock=0.00
Iter 30 | Steps 61440 | Pools h=6 s=6 | pR=1.00 | std h=2.65 s=0.29 | hider=+0.793  hid=0.90 (5ep) | seeker=-0.915  hid=0.96 (5ep) | barr=0.00 elev=0.09 rlock=0.00
Iter 31 | Steps 63488 | Pools h=6 s=6 | pR=1.00 | std h=2.65 s=0.29 | hider=+0.957  hid=0.98 (5ep) | seeker=-0.678  hid=0.84 (5ep) | barr=0.00 elev=0.02 rlock=0.00
Iter 32 | Steps 65536 | Pools h=6 s=6 | pR=1.00 | std h=2.65 s=0.28 | hider=+0.604  hid=0.80 (5ep) | seeker=-0.781  hid=0.89 (5ep) | barr=0.00 elev=0.09 rlock=0.00
Iter 33 | Steps 67584 | Pools h=6 s=6 | pR=1.00 | std h=2.65 s=0.28 | hider=+0.517  hid=0.76 (5ep) | seeker=-0.904  hid=0.95 (5ep) | barr=0.00 elev=0.11 rlock=0.00
Iter 34 | Steps 69632 | Pools h=6 s=6 | pR=1.00 | std h=2.66 s=0.28 | hider=+0.972  hid=0.99 (5ep) | seeker=-1.000  hid=1.00 (5ep) | barr=0.00 elev=0.00 rlock=0.00
Iter 35 | Steps 71680 | Pools h=6 s=6 | pR=1.00 | std h=2.65 s=0.28 | hider=+1.000  hid=1.00 (5ep) | seeker=-0.980  hid=0.99 (5ep) | barr=0.00 elev=0.04 rlock=0.00
Iter 36 | Steps 73728 | Pools h=6 s=6 | pR=1.00 | std h=2.67 s=0.28 | hider=+0.954  hid=0.98 (5ep) | seeker=-0.924  hid=0.96 (5ep) | barr=0.00 elev=0.15 rlock=0.00
Iter 37 | Steps 75776 | Pools h=6 s=6 | pR=1.00 | std h=2.68 s=0.28 | hider=+0.885  hid=0.94 (5ep) | seeker=-0.791  hid=0.90 (5ep) | barr=0.00 elev=0.06 rlock=0.00
Iter 38 | Steps 77824 | Pools h=6 s=6 | pR=1.00 | std h=2.69 s=0.28 | hider=+0.756  hid=0.88 (5ep) | seeker=-1.000  hid=1.00 (5ep) | barr=0.00 elev=0.06 rlock=0.00
Iter 39 | Steps 79872 | Pools h=6 s=6 | pR=1.00 | std h=2.68 s=0.28 | hider=+0.980  hid=0.99 (5ep) | seeker=-0.974  hid=0.99 (5ep) | barr=0.00 elev=0.01 rlock=0.00
Iter 40 | Steps 81920 | Pools h=6 s=6 | pR=1.00 | std h=2.69 s=0.28 | hider=+1.000  hid=1.00 (5ep) | seeker=-1.000  hid=1.00 (5ep) | barr=0.00 elev=0.01 rlock=0.00
Iter 41 | Steps 83968 | Pools h=6 s=6 | pR=1.00 | std h=2.68 s=0.28 | hider=+1.000  hid=1.00 (5ep) | seeker=-0.907  hid=0.95 (5ep) | barr=0.00 elev=0.01 rlock=0.00
Iter 42 | Steps 86016 | Pools h=6 s=6 | pR=1.00 | std h=2.69 s=0.28 | hider=+0.854  hid=0.93 (5ep) | seeker=-0.744  hid=0.87 (5ep) | barr=0.00 elev=0.06 rlock=0.00
Iter 43 | Steps 88064 | Pools h=6 s=6 | pR=1.00 | std h=2.67 s=0.28 | hider=+0.620  hid=0.81 (5ep) | seeker=-0.950  hid=0.97 (5ep) | barr=0.00 elev=0.13 rlock=0.00
