[rc] 10 envs x 800 steps = 8000/update | obs=33 steps=50000000 rc_end=35000000 hidden=256
[rc] warm-started both teams from hs_lstm_*.pt
Iter 27 | Steps 216000 | Pools h=2 s=2 | ph=A/prelock(0.01) | std h=0.89 s=0.61 | hider=+0.744* hid=0.87 (20ep) | seeker=-0.464  hid=0.73 (20ep) | barr=0.78 elev=0.20 rlock=0.07
Iter 28 | Steps 224000 | Pools h=2 s=2 | ph=A/prelock(0.01) | std h=0.89 s=0.61 | hider=+0.372  hid=0.69 (20ep) | seeker=-0.478  hid=0.74 (20ep) | barr=0.60 elev=0.27 rlock=0.10
Iter 29 | Steps 232000 | Pools h=2 s=2 | ph=A/prelock(0.01) | std h=0.89 s=0.61 | hider=+0.504  hid=0.75 (20ep) | seeker=-0.391  hid=0.70 (20ep) | barr=0.70 elev=0.24 rlock=0.07
Iter 30 | Steps 240000 | Pools h=2 s=2 | ph=A/prelock(0.01) | std h=0.89 s=0.61 | hider=+0.571  hid=0.79 (20ep) | seeker=-0.664  hid=0.83 (20ep) | barr=0.80 elev=0.23 rlock=0.00
Iter 31 | Steps 248000 | Pools h=2 s=2 | ph=A/prelock(0.01) | std h=0.88 s=0.61 | hider=+0.509  hid=0.75 (20ep) | seeker=-0.469  hid=0.73 (20ep) | barr=0.78 elev=0.24 rlock=0.05
Iter 32 | Steps 256000 | Pools h=2 s=2 | ph=A/prelock(0.01) | std h=0.88 s=0.61 | hider=+0.545  hid=0.77 (20ep) | seeker=-0.421  hid=0.71 (20ep) | barr=0.82 elev=0.25 rlock=0.00
Iter 33 | Steps 264000 | Pools h=2 s=2 | ph=A/prelock(0.01) | std h=0.88 s=0.61 | hider=+0.502  hid=0.75 (20ep) | seeker=-0.406  hid=0.70 (20ep) | barr=0.82 elev=0.25 rlock=0.03
Iter 34 | Steps 272000 | Pools h=2 s=2 | ph=A/prelock(0.01) | std h=0.88 s=0.61 | hider=+0.580  hid=0.79 (20ep) | seeker=-0.345  hid=0.67 (20ep) | barr=0.88 elev=0.29 rlock=0.05
Iter 35 | Steps 280000 | Pools h=2 s=2 | ph=A/prelock(0.01) | std h=0.88 s=0.61 | hider=+0.560  hid=0.78 (20ep) | seeker=-0.502  hid=0.75 (20ep) | barr=0.80 elev=0.28 rlock=0.10
Iter 36 | Steps 288000 | Pools h=2 s=2 | ph=A/prelock(0.01) | std h=0.88 s=0.61 | hider=+0.603  hid=0.80 (20ep) | seeker=-0.151* hid=0.58 (20ep) | barr=0.85 elev=0.38 rlock=0.03
Iter 37 | Steps 296000 | Pools h=2 s=2 | ph=A/prelock(0.01) | std h=0.88 s=0.61 | hider=+0.420  hid=0.71 (20ep) | seeker=-0.710  hid=0.85 (20ep) | barr=0.78 elev=0.19 rlock=0.07
Iter 38 | Steps 304000 | Pools h=2 s=2 | ph=A/prelock(0.01) | std h=0.88 s=0.61 | hider=+0.587  hid=0.79 (20ep) | seeker=-0.419  hid=0.71 (20ep) | barr=0.65 elev=0.25 rlock=0.05
Iter 39 | Steps 312000 | Pools h=2 s=2 | ph=A/prelock(0.01) | std h=0.88 s=0.61 | hider=+0.552  hid=0.78 (20ep) | seeker=-0.374  hid=0.69 (20ep) | barr=0.72 elev=0.28 rlock=0.07
Iter 40 | Steps 320000 | Pools h=2 s=2 | ph=A/prelock(0.01) | std h=0.88 s=0.61 | hider=+0.403  hid=0.70 (20ep) | seeker=-0.457  hid=0.73 (20ep) | barr=0.72 elev=0.30 rlock=0.03
Iter 41 | Steps 328000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=0.88 s=0.61 | hider=+0.360  hid=0.68 (20ep) | seeker=-0.462  hid=0.73 (20ep) | barr=0.75 elev=0.28 rlock=0.07
Iter 42 | Steps 336000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=0.88 s=0.61 | hider=+0.284  hid=0.64 (20ep) | seeker=-0.563  hid=0.78 (20ep) | barr=0.82 elev=0.31 rlock=0.05
Iter 43 | Steps 344000 | Pools h=3 s=3 | ph=A/prelock(0.01) | std h=0.88 s=0.61 | hider=+0.634  hid=0.82 (20ep) | seeker=-0.617  hid=0.81 (20ep) | barr=0.65 elev=0.20 rlock=0.07
