[vec] 10 envs x 800 steps = 8000/update | obs=33 steps=100000000 s2=0-0 hidden=256
[vec] warm-started both teams from hs_lstm20m_*.pt
/Users/zidan/Desktop/has/train_hs7_lstm_vec.py:221: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /Users/runner/work/pytorch/pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:839.)
  "std " + " ".join(f"{t[0]}={float(live[t].ac._std().mean()):.2f}" for t in TEAMS)]
Iter 26 | Steps 208000 | Pools h=2 s=2 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.779* hid=0.89 (20ep) | seeker=-0.441  hid=0.72 (20ep) | barr=0.12 elev=0.17 rlock=0.07
Iter 27 | Steps 216000 | Pools h=2 s=2 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.399  hid=0.70 (20ep) | seeker=-0.502  hid=0.75 (20ep) | barr=0.17 elev=0.30 rlock=0.05
Iter 28 | Steps 224000 | Pools h=2 s=2 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.326  hid=0.66 (20ep) | seeker=-0.748  hid=0.87 (20ep) | barr=0.25 elev=0.15 rlock=0.03
Iter 29 | Steps 232000 | Pools h=2 s=2 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.708  hid=0.85 (20ep) | seeker=-0.438  hid=0.72 (20ep) | barr=0.17 elev=0.12 rlock=0.03
Iter 30 | Steps 240000 | Pools h=2 s=2 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.700  hid=0.85 (20ep) | seeker=-0.833  hid=0.92 (20ep) | barr=0.17 elev=0.11 rlock=0.03
Iter 31 | Steps 248000 | Pools h=2 s=2 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.671  hid=0.84 (20ep) | seeker=-0.483  hid=0.74 (20ep) | barr=0.17 elev=0.19 rlock=0.00
Iter 32 | Steps 256000 | Pools h=2 s=2 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.398  hid=0.70 (20ep) | seeker=-0.457  hid=0.73 (20ep) | barr=0.23 elev=0.23 rlock=0.03
Iter 33 | Steps 264000 | Pools h=2 s=2 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.609  hid=0.80 (20ep) | seeker=-0.637  hid=0.82 (20ep) | barr=0.05 elev=0.12 rlock=0.12
Iter 34 | Steps 272000 | Pools h=2 s=2 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.584  hid=0.79 (20ep) | seeker=-0.316  hid=0.66 (20ep) | barr=0.15 elev=0.24 rlock=0.05
Iter 35 | Steps 280000 | Pools h=2 s=2 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.389  hid=0.69 (20ep) | seeker=-0.255  hid=0.63 (20ep) | barr=0.07 elev=0.28 rlock=0.03
Iter 36 | Steps 288000 | Pools h=2 s=2 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.724  hid=0.86 (20ep) | seeker=-0.358  hid=0.68 (20ep) | barr=0.20 elev=0.21 rlock=0.05
Iter 37 | Steps 296000 | Pools h=2 s=2 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.444  hid=0.72 (20ep) | seeker=-0.104* hid=0.55 (20ep) | barr=0.07 elev=0.28 rlock=0.05
Iter 38 | Steps 304000 | Pools h=2 s=2 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.306  hid=0.65 (20ep) | seeker=-0.378  hid=0.69 (20ep) | barr=0.07 elev=0.28 rlock=0.05
Iter 39 | Steps 312000 | Pools h=2 s=2 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.578  hid=0.79 (20ep) | seeker=-0.451  hid=0.73 (20ep) | barr=0.17 elev=0.26 rlock=0.05
Iter 40 | Steps 320000 | Pools h=2 s=2 | p2=1.00 | std h=0.97 s=0.49 | hider=+0.378  hid=0.69 (20ep) | seeker=-0.251  hid=0.63 (20ep) | barr=0.20 elev=0.26 rlock=0.10
Iter 41 | Steps 328000 | Pools h=3 s=3 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.421  hid=0.71 (20ep) | seeker=-0.572  hid=0.79 (20ep) | barr=0.17 elev=0.25 rlock=0.05
Iter 42 | Steps 336000 | Pools h=3 s=3 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.468  hid=0.73 (20ep) | seeker=-0.520  hid=0.76 (20ep) | barr=0.20 elev=0.29 rlock=0.05
Iter 43 | Steps 344000 | Pools h=3 s=3 | p2=1.00 | std h=0.96 s=0.50 | hider=+0.495  hid=0.75 (20ep) | seeker=-0.704  hid=0.85 (20ep) | barr=0.15 elev=0.18 rlock=0.10
Iter 44 | Steps 352000 | Pools h=3 s=3 | p2=1.00 | std h=0.96 s=0.50 | hider=+0.537  hid=0.77 (20ep) | seeker=-0.450  hid=0.72 (20ep) | barr=0.23 elev=0.23 rlock=0.07
Iter 45 | Steps 360000 | Pools h=3 s=3 | p2=1.00 | std h=0.96 s=0.50 | hider=+0.308  hid=0.65 (20ep) | seeker=-0.346  hid=0.67 (20ep) | barr=0.17 elev=0.36 rlock=0.07
Iter 46 | Steps 368000 | Pools h=3 s=3 | p2=1.00 | std h=0.96 s=0.50 | hider=+0.563  hid=0.78 (20ep) | seeker=-0.572  hid=0.79 (20ep) | barr=0.30 elev=0.19 rlock=0.03
Iter 47 | Steps 376000 | Pools h=3 s=3 | p2=1.00 | std h=0.96 s=0.50 | hider=+0.700  hid=0.85 (20ep) | seeker=-0.381  hid=0.69 (20ep) | barr=0.17 elev=0.25 rlock=0.05
Iter 48 | Steps 384000 | Pools h=3 s=3 | p2=1.00 | std h=0.96 s=0.50 | hider=+0.675  hid=0.84 (20ep) | seeker=-0.490  hid=0.74 (20ep) | barr=0.10 elev=0.15 rlock=0.05
Iter 49 | Steps 392000 | Pools h=3 s=3 | p2=1.00 | std h=0.96 s=0.50 | hider=+0.406  hid=0.70 (20ep) | seeker=-0.213  hid=0.61 (20ep) | barr=0.12 elev=0.31 rlock=0.03
Iter 50 | Steps 400000 | Pools h=3 s=3 | p2=1.00 | std h=0.96 s=0.50 | hider=+0.509  hid=0.75 (20ep) | seeker=-0.460  hid=0.73 (20ep) | barr=0.23 elev=0.25 rlock=0.00
Iter 51 | Steps 408000 | Pools h=3 s=3 | p2=1.00 | std h=0.96 s=0.50 | hider=+0.544  hid=0.77 (20ep) | seeker=-0.490  hid=0.75 (20ep) | barr=0.17 elev=0.21 rlock=0.05
Iter 52 | Steps 416000 | Pools h=3 s=3 | p2=1.00 | std h=0.96 s=0.50 | hider=+0.444  hid=0.72 (20ep) | seeker=-0.284  hid=0.64 (20ep) | barr=0.20 elev=0.29 rlock=0.03
Iter 53 | Steps 424000 | Pools h=3 s=3 | p2=1.00 | std h=0.96 s=0.50 | hider=+0.515  hid=0.76 (20ep) | seeker=-0.552  hid=0.78 (20ep) | barr=0.20 elev=0.19 rlock=0.05
Iter 54 | Steps 432000 | Pools h=3 s=3 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.516  hid=0.76 (20ep) | seeker=-0.705  hid=0.85 (20ep) | barr=0.23 elev=0.20 rlock=0.05
Iter 55 | Steps 440000 | Pools h=3 s=3 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.062  hid=0.53 (20ep) | seeker=-0.304  hid=0.65 (20ep) | barr=0.23 elev=0.32 rlock=0.03
Iter 56 | Steps 448000 | Pools h=3 s=3 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.681  hid=0.84 (20ep) | seeker=-0.325  hid=0.66 (20ep) | barr=0.05 elev=0.24 rlock=0.10
Iter 57 | Steps 456000 | Pools h=3 s=3 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.252  hid=0.63 (20ep) | seeker=-0.666  hid=0.83 (20ep) | barr=0.15 elev=0.26 rlock=0.03
Iter 58 | Steps 464000 | Pools h=3 s=3 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.719  hid=0.86 (20ep) | seeker=-0.375  hid=0.69 (20ep) | barr=0.05 elev=0.22 rlock=0.07
Iter 59 | Steps 472000 | Pools h=3 s=3 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.229  hid=0.61 (20ep) | seeker=-0.332  hid=0.67 (20ep) | barr=0.20 elev=0.27 rlock=0.03
Iter 60 | Steps 480000 | Pools h=3 s=3 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.560  hid=0.78 (20ep) | seeker=-0.772  hid=0.89 (20ep) | barr=0.23 elev=0.20 rlock=0.00
Iter 61 | Steps 488000 | Pools h=4 s=4 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.613  hid=0.81 (20ep) | seeker=-0.438  hid=0.72 (20ep) | barr=0.23 elev=0.26 rlock=0.00
Iter 62 | Steps 496000 | Pools h=4 s=4 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.435  hid=0.72 (20ep) | seeker=-0.412  hid=0.71 (20ep) | barr=0.12 elev=0.20 rlock=0.03
Iter 63 | Steps 504000 | Pools h=4 s=4 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.537  hid=0.77 (20ep) | seeker=-0.267  hid=0.63 (20ep) | barr=0.07 elev=0.27 rlock=0.00
Iter 64 | Steps 512000 | Pools h=4 s=4 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.549  hid=0.77 (20ep) | seeker=-0.358  hid=0.68 (20ep) | barr=0.07 elev=0.23 rlock=0.07
Iter 65 | Steps 520000 | Pools h=4 s=4 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.418  hid=0.71 (20ep) | seeker=-0.471  hid=0.74 (20ep) | barr=0.25 elev=0.25 rlock=0.03
Iter 66 | Steps 528000 | Pools h=4 s=4 | p2=1.00 | std h=0.95 s=0.49 | hider=+0.646  hid=0.82 (20ep) | seeker=-0.374  hid=0.69 (20ep) | barr=0.12 elev=0.20 rlock=0.05
Iter 67 | Steps 536000 | Pools h=4 s=4 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.386  hid=0.69 (20ep) | seeker=-0.444  hid=0.72 (20ep) | barr=0.15 elev=0.21 rlock=0.05
Iter 68 | Steps 544000 | Pools h=4 s=4 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.127  hid=0.56 (20ep) | seeker=-0.503  hid=0.75 (20ep) | barr=0.07 elev=0.28 rlock=0.05
Iter 69 | Steps 552000 | Pools h=4 s=4 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.351  hid=0.68 (20ep) | seeker=-0.688  hid=0.84 (20ep) | barr=0.23 elev=0.17 rlock=0.05
Iter 70 | Steps 560000 | Pools h=4 s=4 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.457  hid=0.73 (20ep) | seeker=-0.289  hid=0.64 (20ep) | barr=0.17 elev=0.33 rlock=0.05
Iter 71 | Steps 568000 | Pools h=4 s=4 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.457  hid=0.73 (20ep) | seeker=-0.295  hid=0.65 (20ep) | barr=0.20 elev=0.30 rlock=0.03
Iter 72 | Steps 576000 | Pools h=4 s=4 | p2=1.00 | std h=0.96 s=0.49 | hider=+0.588  hid=0.79 (20ep) | seeker=-0.096* hid=0.55 (20ep) | barr=0.15 elev=0.26 rlock=0.05
