[rc] 10 envs x 800 steps = 8000/update | obs=33 steps=50000000 rc_end=35000000 hidden=256
[rc] warm-started both teams from hs_lstm_*.pt
Iter 27 | Steps 216000 | Pools h=2 s=2 | ph=A/prelock(0.01) | std h=0.89 s=0.61 | hider=+0.294  hid=0.65 (20ep) | seeker=-0.530  hid=0.77 (20ep) | barr=0.62 elev=0.31 rlock=0.12
Iter 28 | Steps 224000 | Pools h=2 s=2 | ph=A/prelock(0.01) | std h=0.89 s=0.61 | hider=+0.586  hid=0.79 (20ep) | seeker=-0.681  hid=0.84 (20ep) | barr=0.80 elev=0.24 rlock=0.00
Iter 29 | Steps 232000 | Pools h=2 s=2 | ph=A/prelock(0.01) | std h=0.89 s=0.61 | hider=+0.462  hid=0.73 (20ep) | seeker=-0.540  hid=0.77 (20ep) | barr=0.75 elev=0.28 rlock=0.03
Iter 30 | Steps 240000 | Pools h=2 s=2 | ph=A/prelock(0.01) | std h=0.90 s=0.61 | hider=+0.655  hid=0.83 (20ep) | seeker=-0.595  hid=0.80 (20ep) | barr=0.62 elev=0.21 rlock=0.03
Iter 31 | Steps 248000 | Pools h=2 s=2 | ph=A/prelock(0.01) | std h=0.90 s=0.61 | hider=+0.450  hid=0.72 (20ep) | seeker=-0.347  hid=0.67 (20ep) | barr=0.68 elev=0.34 rlock=0.10
Iter 32 | Steps 256000 | Pools h=2 s=2 | ph=A/prelock(0.01) | std h=0.90 s=0.61 | hider=+0.538  hid=0.77 (20ep) | seeker=-0.406  hid=0.70 (20ep) | barr=0.72 elev=0.29 rlock=0.10
Iter 33 | Steps 264000 | Pools h=2 s=2 | ph=A/prelock(0.01) | std h=0.90 s=0.61 | hider=+0.613  hid=0.81 (20ep) | seeker=-0.490  hid=0.75 (20ep) | barr=0.72 elev=0.22 rlock=0.07
Iter 34 | Steps 272000 | Pools h=2 s=2 | ph=A/prelock(0.01) | std h=0.90 s=0.61 | hider=+0.460  hid=0.73 (20ep) | seeker=-0.514  hid=0.76 (20ep) | barr=0.72 elev=0.31 rlock=0.00
Iter 35 | Steps 280000 | Pools h=2 s=2 | ph=A/prelock(0.01) | std h=0.90 s=0.61 | hider=+0.494  hid=0.75 (20ep) | seeker=-0.507  hid=0.75 (20ep) | barr=0.78 elev=0.25 rlock=0.05
Iter 36 | Steps 288000 | Pools h=2 s=2 | ph=A/prelock(0.01) | std h=0.90 s=0.61 | hider=+0.543  hid=0.77 (20ep) | seeker=-0.426  hid=0.71 (20ep) | barr=0.72 elev=0.29 rlock=0.07
Iter 37 | Steps 296000 | Pools h=2 s=2 | ph=A/prelock(0.01) | std h=0.90 s=0.61 | hider=+0.157  hid=0.58 (20ep) | seeker=-0.856  hid=0.93 (20ep) | barr=0.78 elev=0.25 rlock=0.05
Iter 38 | Steps 304000 | Pools h=2 s=2 | ph=A/prelock(0.01) | std h=0.90 s=0.61 | hider=+0.381  hid=0.69 (20ep) | seeker=-0.271  hid=0.64 (20ep) | barr=0.78 elev=0.40 rlock=0.07
Iter 39 | Steps 312000 | Pools h=2 s=2 | ph=A/prelock(0.01) | std h=0.90 s=0.61 | hider=+0.626  hid=0.81 (20ep) | seeker=-0.652  hid=0.83 (20ep) | barr=0.72 elev=0.22 rlock=0.03
Iter 40 | Steps 320000 | Pools h=2 s=2 | ph=A/prelock(0.01) | std h=0.90 s=0.61 | hider=+0.552  hid=0.78 (20ep) | seeker=-0.776  hid=0.89 (20ep) | barr=0.78 elev=0.19 rlock=0.03
